Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Lyme Disease,El Dorado,2005,Male,1,86534,1.156,0.029,6.439,*
Lyme Disease,El Dorado,2006,Total,4,175258,2.282,0.622,5.844,*
Lyme Disease,El Dorado,2006,Female,3,87654,3.423,0.706,10.002,*
Lyme Disease,El Dorado,2006,Male,1,87604,1.142,0.029,6.36,*
Lyme Disease,El Dorado,2007,Total,2,177195,1.129,0.137,4.077,*
Lyme Disease,El Dorado,2007,Female,1,88622,1.128,0.029,6.287,*
Lyme Disease,El Dorado,2007,Male,1,88573,1.129,0.029,6.29,*
Lyme Disease,El Dorado,2008,Total,1,178599,0.56,0.014,3.12,*
Lyme Disease,El Dorado,2008,Female,0,89339,0,0,4.129,-
Lyme Disease,El Dorado,2008,Male,1,89260,1.12,0.028,6.242,*
Lyme Disease,El Dorado,2009,Total,2,179701,1.113,0.135,4.02,*
Lyme Disease,El Dorado,2009,Female,0,89876,0,0,4.104,-
Lyme Disease,El Dorado,2009,Male,2,89825,2.227,0.27,8.043,*
Lyme Disease,El Dorado,2010,Total,2,180925,1.105,0.134,3.993,*
Lyme Disease,El Dorado,2010,Female,2,90414,2.212,0.268,7.99,*
Lyme Disease,El Dorado,2010,Male,0,90511,0,0,4.076,-
Lyme Disease,El Dorado,2011,Total,1,180639,0.554,0.014,3.084,*
Lyme Disease,El Dorado,2011,Female,1,90341,1.107,0.028,6.167,*
Lyme Disease,El Dorado,2011,Male,0,90298,0,0,4.085,-
Lyme Disease,El Dorado,2012,Total,1,182640,0.548,0.014,3.051,*
Lyme Disease,El Dorado,2012,Female,1,91305,1.095,0.028,6.102,*
Lyme Disease,El Dorado,2012,Male,0,91335,0,0,4.039,-
Lyme Disease,El Dorado,2013,Total,3,182958,1.64,0.338,4.792,*
Lyme Disease,El Dorado,2013,Female,2,91508,2.186,0.265,7.895,*
Lyme Disease,El Dorado,2013,Male,1,91450,1.093,0.028,6.092,*
Lyme Disease,El Dorado,2014,Total,1,183957,0.544,0.014,3.029,*
Lyme Disease,El Dorado,2014,Female,1,92046,1.086,0.028,6.053,*
Lyme Disease,El Dorado,2014,Male,0,91911,0,0,4.013,-
Lyme Disease,Fresno,2001,Total,0,815003,0,0,0.453,-
Lyme Disease,Fresno,2001,Female,0,407172,0,0,0.906,-
Lyme Disease,Fresno,2001,Male,0,407831,0,0,0.905,-
Lyme Disease,Fresno,2002,Total,1,828637,0.121,0.003,0.672,*
Lyme Disease,Fresno,2002,Female,1,414207,0.241,0.006,1.345,*
Lyme Disease,Fresno,2002,Male,0,414430,0,0,0.89,-
Lyme Disease,Fresno,2003,Total,0,845917,0,0,0.436,-
Lyme Disease,Fresno,2003,Female,0,423018,0,0,0.872,-
Lyme Disease,Fresno,2003,Male,0,422899,0,0,0.872,-
Lyme Disease,Fresno,2004,Total,0,860226,0,0,0.429,-
Lyme Disease,Fresno,2004,Female,0,430198,0,0,0.857,-
Lyme Disease,Fresno,2004,Male,0,430028,0,0,0.858,-
Lyme Disease,Fresno,2005,Total,0,871910,0,0,0.423,-
Lyme Disease,Fresno,2005,Female,0,436052,0,0,0.846,-
Lyme Disease,Fresno,2005,Male,0,435858,0,0,0.846,-
Lyme Disease,Fresno,2006,Total,1,886376,0.113,0.003,0.629,*
Lyme Disease,Fresno,2006,Female,0,443403,0,0,0.832,-
Lyme Disease,Fresno,2006,Male,1,442973,0.226,0.006,1.258,*
Lyme Disease,Fresno,2007,Total,0,899826,0,0,0.41,-
Lyme Disease,Fresno,2007,Female,0,450080,0,0,0.82,-
Lyme Disease,Fresno,2007,Male,0,449746,0,0,0.82,-
Lyme Disease,Fresno,2008,Total,2,913239,0.219,0.027,0.791,*
Lyme Disease,Fresno,2008,Female,0,456755,0,0,0.808,-
Lyme Disease,Fresno,2008,Male,2,456484,0.438,0.053,1.583,*
Lyme Disease,Fresno,2009,Total,2,923895,0.216,0.026,0.782,*
Lyme Disease,Fresno,2009,Female,0,461947,0,0,0.799,-
Lyme Disease,Fresno,2009,Male,2,461948,0.433,0.052,1.564,*
Lyme Disease,Fresno,2010,Total,2,932343,0.215,0.026,0.775,*
Lyme Disease,Fresno,2010,Female,1,466558,0.214,0.005,1.194,*
Lyme Disease,Fresno,2010,Male,1,465785,0.215,0.005,1.196,*
Lyme Disease,Fresno,2011,Total,1,939329,0.106,0.003,0.593,*
Lyme Disease,Fresno,2011,Female,1,469845,0.213,0.005,1.186,*
Lyme Disease,Fresno,2011,Male,0,469484,0,0,0.786,-
Lyme Disease,Fresno,2012,Total,5,948453,0.527,0.171,1.23,*
Lyme Disease,Fresno,2012,Female,2,474300,0.422,0.051,1.523,*
Lyme Disease,Fresno,2012,Male,3,474153,0.633,0.13,1.849,*
Lyme Disease,Fresno,2013,Total,2,956967,0.209,0.025,0.755,*
Lyme Disease,Fresno,2013,Female,2,478477,0.418,0.051,1.51,*
Lyme Disease,Fresno,2013,Male,0,478490,0,0,0.771,-
Lyme Disease,Fresno,2014,Total,0,967491,0,0,0.381,-
Lyme Disease,Fresno,2014,Female,0,483695,0,0,0.763,-
Lyme Disease,Fresno,2014,Male,0,483796,0,0,0.762,-
Lyme Disease,Glenn,2001,Total,0,26611,0,0,13.861,-
Lyme Disease,Glenn,2001,Female,0,13154,0,0,28.04,-
Lyme Disease,Glenn,2001,Male,0,13457,0,0,27.409,-
Lyme Disease,Glenn,2002,Total,0,26792,0,0,13.768,-
Lyme Disease,Glenn,2002,Female,0,13251,0,0,27.835,-
Lyme Disease,Glenn,2002,Male,0,13541,0,0,27.239,-
Lyme Disease,Glenn,2003,Total,0,27156,0,0,13.583,-
Lyme Disease,Glenn,2003,Female,0,13448,0,0,27.427,-
Lyme Disease,Glenn,2003,Male,0,13708,0,0,26.907,-
Lyme Disease,Glenn,2004,Total,0,27264,0,0,13.529,-
Lyme Disease,Glenn,2004,Female,0,13518,0,0,27.285,-
Lyme Disease,Glenn,2004,Male,0,13746,0,0,26.832,-
Lyme Disease,Glenn,2005,Total,0,27525,0,0,13.401,-
Lyme Disease,Glenn,2005,Female,0,13636,0,0,27.049,-
Lyme Disease,Glenn,2005,Male,0,13889,0,0,26.556,-
Lyme Disease,Glenn,2006,Total,0,27731,0,0,13.301,-
Lyme Disease,Glenn,2006,Female,0,13729,0,0,26.866,-
Lyme Disease,Glenn,2006,Male,0,14002,0,0,26.342,-
Lyme Disease,Glenn,2007,Total,0,28013,0,0,13.168,-
Lyme Disease,Glenn,2007,Female,0,13871,0,0,26.591,-
Lyme Disease,Glenn,2007,Male,0,14142,0,0,26.081,-
Lyme Disease,Glenn,2008,Total,0,28120,0,0,13.117,-
Lyme Disease,Glenn,2008,Female,0,13920,0,0,26.497,-
Lyme Disease,Glenn,2008,Male,0,14200,0,0,25.975,-
Lyme Disease,Glenn,2009,Total,0,28056,0,0,13.147,-
Lyme Disease,Glenn,2009,Female,0,13906,0,0,26.524,-
Lyme Disease,Glenn,2009,Male,0,14150,0,0,26.066,-
Lyme Disease,Glenn,2010,Total,0,28144,0,0,13.106,-
Lyme Disease,Glenn,2010,Female,0,13938,0,0,26.463,-
Lyme Disease,Glenn,2010,Male,0,14206,0,0,25.964,-
Lyme Disease,Glenn,2011,Total,0,28256,0,0,13.054,-
Lyme Disease,Glenn,2011,Female,0,13991,0,0,26.363,-
Lyme Disease,Glenn,2011,Male,0,14265,0,0,25.856,-
Lyme Disease,Glenn,2012,Total,0,28560,0,0,12.915,-
Lyme Disease,Glenn,2012,Female,0,14136,0,0,26.092,-
Lyme Disease,Glenn,2012,Male,0,14424,0,0,25.571,-
Lyme Disease,Glenn,2013,Total,0,28628,0,0,12.885,-
Lyme Disease,Glenn,2013,Female,0,14165,0,0,26.039,-
Lyme Disease,Glenn,2013,Male,0,14463,0,0,25.502,-
Lyme Disease,Glenn,2014,Total,1,28715,3.483,0.088,19.402,*
Lyme Disease,Glenn,2014,Female,1,14207,7.039,0.178,39.211,*
Lyme Disease,Glenn,2014,Male,0,14508,0,0,25.423,-
Lyme Disease,Humboldt,2001,Total,4,127348,3.141,0.856,8.042,*
Lyme Disease,Humboldt,2001,Female,1,64153,1.559,0.039,8.685,*
Lyme Disease,Humboldt,2001,Male,3,63195,4.747,0.979,13.873,*
Lyme Disease,Humboldt,2002,Total,6,128755,4.66,1.71,10.143,*
Lyme Disease,Humboldt,2002,Female,2,64785,3.087,0.374,11.151,*
Lyme Disease,Humboldt,2002,Male,4,63970,6.253,1.704,16.009,*
Lyme Disease,Humboldt,2003,Total,4,130179,3.073,0.837,7.867,*
Lyme Disease,Humboldt,2003,Female,2,65437,3.056,0.37,11.04,*
Lyme Disease,Humboldt,2003,Male,2,64742,3.089,0.374,11.159,*
Lyme Disease,Humboldt,2004,Total,8,131243,6.096,2.632,12.01,*
Lyme Disease,Humboldt,2004,Female,4,65925,6.067,1.653,15.534,*
Lyme Disease,Humboldt,2004,Male,4,65318,6.124,1.669,15.679,*
Lyme Disease,Humboldt,2005,Total,10,131689,7.594,3.642,13.965,*
Lyme Disease,Humboldt,2005,Female,5,66095,7.565,2.456,17.653,*
Lyme Disease,Humboldt,2005,Male,5,65594,7.623,2.475,17.788,*
Lyme Disease,Humboldt,2006,Total,4,132226,3.025,0.824,7.745,*
Lyme Disease,Humboldt,2006,Female,1,66298,1.508,0.038,8.404,*
Lyme Disease,Humboldt,2006,Male,3,65928,4.55,0.938,13.298,*
Lyme Disease,Humboldt,2007,Total,8,132657,6.031,2.604,11.882,*
Lyme Disease,Humboldt,2007,Female,6,66424,9.033,3.315,19.66,*
Lyme Disease,Humboldt,2007,Male,2,66233,3.02,0.366,10.908,*
Lyme Disease,Humboldt,2008,Total,4,133201,3.003,0.818,7.689,*
Lyme Disease,Humboldt,2008,Female,1,66619,1.501,0.038,8.363,*
Lyme Disease,Humboldt,2008,Male,3,66582,4.506,0.929,13.167,*
Lyme Disease,Humboldt,2009,Total,4,133766,2.99,0.815,7.656,*
Lyme Disease,Humboldt,2009,Female,2,66863,2.991,0.362,10.805,*
Lyme Disease,Humboldt,2009,Male,2,66903,2.989,0.362,10.798,*
Lyme Disease,Humboldt,2010,Total,12,134656,8.912,4.605,15.566,*
Lyme Disease,Humboldt,2010,Female,3,66755,4.494,0.927,13.133,*
Lyme Disease,Humboldt,2010,Male,9,67901,13.255,6.061,25.16,*
Lyme Disease,Humboldt,2011,Total,7,135174,5.179,2.082,10.669,*
Lyme Disease,Humboldt,2011,Female,3,66976,4.479,0.924,13.09,*
Lyme Disease,Humboldt,2011,Male,4,68198,5.865,1.598,15.017,*
Lyme Disease,Humboldt,2012,Total,2,134601,1.486,0.18,5.367,*
Lyme Disease,Humboldt,2012,Female,1,66729,1.499,0.038,8.349,*
Lyme Disease,Humboldt,2012,Male,1,67872,1.473,0.037,8.209,*
Lyme Disease,Humboldt,2013,Total,4,134698,2.97,0.809,7.603,*
Lyme Disease,Humboldt,2013,Female,3,66776,4.493,0.926,13.129,*
Lyme Disease,Humboldt,2013,Male,1,67922,1.472,0.037,8.203,*
Lyme Disease,Humboldt,2014,Total,5,134609,3.714,1.206,8.668,*
Lyme Disease,Humboldt,2014,Female,2,66722,2.997,0.363,10.828,*
Lyme Disease,Humboldt,2014,Male,3,67887,4.419,0.911,12.914,*
Lyme Disease,Imperial,2001,Total,0,144726,0,0,2.549,-
Lyme Disease,Imperial,2001,Female,0,69392,0,0,5.316,-
Lyme Disease,Imperial,2001,Male,0,75334,0,0,4.897,-
Lyme Disease,Imperial,2002,Total,0,147185,0,0,2.506,-
Lyme Disease,Imperial,2002,Female,0,70707,0,0,5.217,-
Lyme Disease,Imperial,2002,Male,0,76478,0,0,4.823,-
Lyme Disease,Imperial,2003,Total,0,150909,0,0,2.444,-
Lyme Disease,Imperial,2003,Female,0,72618,0,0,5.08,-
Lyme Disease,Imperial,2003,Male,0,78291,0,0,4.712,-
Lyme Disease,Imperial,2004,Total,0,153937,0,0,2.396,-
Lyme Disease,Imperial,2004,Female,0,74201,0,0,4.971,-
Lyme Disease,Imperial,2004,Male,0,79736,0,0,4.626,-
Lyme Disease,Imperial,2005,Total,0,157657,0,0,2.34,-
Lyme Disease,Imperial,2005,Female,0,76126,0,0,4.846,-
Lyme Disease,Imperial,2005,Male,0,81531,0,0,4.524,-
Lyme Disease,Imperial,2006,Total,0,162532,0,0,2.27,-
Lyme Disease,Imperial,2006,Female,0,78596,0,0,4.693,-
Lyme Disease,Imperial,2006,Male,0,83936,0,0,4.395,-
Lyme Disease,Imperial,2007,Total,0,166894,0,0,2.21,-
Lyme Disease,Imperial,2007,Female,0,80846,0,0,4.563,-
Lyme Disease,Imperial,2007,Male,0,86048,0,0,4.287,-
Lyme Disease,Imperial,2008,Total,0,170104,0,0,2.169,-
Lyme Disease,Imperial,2008,Female,0,82512,0,0,4.471,-
Lyme Disease,Imperial,2008,Male,0,87592,0,0,4.211,-
Lyme Disease,Imperial,2009,Total,0,173241,0,0,2.129,-
Lyme Disease,Imperial,2009,Female,0,84166,0,0,4.383,-
Lyme Disease,Imperial,2009,Male,0,89075,0,0,4.141,-
Lyme Disease,Imperial,2010,Total,0,175424,0,0,2.103,-
Lyme Disease,Imperial,2010,Female,0,85187,0,0,4.33,-
Lyme Disease,Imperial,2010,Male,0,90237,0,0,4.088,-
Lyme Disease,Imperial,2011,Total,0,177359,0,0,2.08,-
Lyme Disease,Imperial,2011,Female,0,86154,0,0,4.282,-
Lyme Disease,Imperial,2011,Male,0,91205,0,0,4.045,-
Lyme Disease,Imperial,2012,Total,0,178382,0,0,2.068,-
Lyme Disease,Imperial,2012,Female,0,86637,0,0,4.258,-
Lyme Disease,Imperial,2012,Male,0,91745,0,0,4.021,-
Lyme Disease,Imperial,2013,Total,0,179142,0,0,2.059,-
Lyme Disease,Imperial,2013,Female,0,86982,0,0,4.241,-
Lyme Disease,Imperial,2013,Male,0,92160,0,0,4.003,-
Lyme Disease,Imperial,2014,Total,0,181103,0,0,2.037,-
Lyme Disease,Imperial,2014,Female,0,88072,0,0,4.188,-
Lyme Disease,Imperial,2014,Male,0,93031,0,0,3.965,-
Lyme Disease,Inyo,2001,Total,1,18207,5.492,0.139,30.598,*
Lyme Disease,Inyo,2001,Female,1,9239,10.824,0.274,60.291,*
Lyme Disease,Inyo,2001,Male,0,8968,0,0,41.125,-
Lyme Disease,Inyo,2002,Total,0,18415,0,0,20.03,-
Lyme Disease,Inyo,2002,Female,0,9327,0,0,39.543,-
Lyme Disease,Inyo,2002,Male,0,9088,0,0,40.582,-
Lyme Disease,Inyo,2003,Total,0,18507,0,0,19.93,-
Lyme Disease,Inyo,2003,Female,0,9356,0,0,39.42,-
Lyme Disease,Inyo,2003,Male,0,9151,0,0,40.303,-
Lyme Disease,Inyo,2004,Total,0,18559,0,0,19.875,-
Lyme Disease,Inyo,2004,Female,0,9366,0,0,39.378,-
Lyme Disease,Inyo,2004,Male,0,9193,0,0,40.119,-
Lyme Disease,Inyo,2005,Total,0,18463,0,0,19.978,-
Lyme Disease,Inyo,2005,Female,0,9309,0,0,39.619,-
Lyme Disease,Inyo,2005,Male,0,9154,0,0,40.29,-
Lyme Disease,Inyo,2006,Total,1,18421,5.429,0.137,30.242,*
Lyme Disease,Inyo,2006,Female,1,9267,10.791,0.273,60.109,*
Lyme Disease,Inyo,2006,Male,0,9154,0,0,40.29,-
Lyme Disease,Inyo,2007,Total,0,18447,0,0,19.995,-
Lyme Disease,Inyo,2007,Female,0,9261,0,0,39.824,-
Lyme Disease,Inyo,2007,Male,0,9186,0,0,40.15,-
Lyme Disease,Inyo,2008,Total,0,18383,0,0,20.065,-
Lyme Disease,Inyo,2008,Female,0,9209,0,0,40.049,-
Lyme Disease,Inyo,2008,Male,0,9174,0,0,40.202,-
Lyme Disease,Inyo,2009,Total,0,18448,0,0,19.994,-
Lyme Disease,Inyo,2009,Female,0,9205,0,0,40.067,-
Lyme Disease,Inyo,2009,Male,0,9243,0,0,39.902,-
Lyme Disease,Inyo,2010,Total,0,18530,0,0,19.906,-
Lyme Disease,Inyo,2010,Female,0,9132,0,0,40.387,-
Lyme Disease,Inyo,2010,Male,0,9398,0,0,39.244,-
Lyme Disease,Inyo,2011,Total,0,18666,0,0,19.761,-
Lyme Disease,Inyo,2011,Female,0,9185,0,0,40.154,-
Lyme Disease,Inyo,2011,Male,0,9481,0,0,38.901,-
Lyme Disease,Inyo,2012,Total,0,18578,0,0,19.854,-
Lyme Disease,Inyo,2012,Female,0,9124,0,0,40.422,-
Lyme Disease,Inyo,2012,Male,0,9454,0,0,39.012,-
Lyme Disease,Inyo,2013,Total,0,18584,0,0,19.848,-
Lyme Disease,Inyo,2013,Female,0,9133,0,0,40.383,-
Lyme Disease,Inyo,2013,Male,0,9451,0,0,39.024,-
Lyme Disease,Inyo,2014,Total,0,18612,0,0,19.818,-
Lyme Disease,Inyo,2014,Female,0,9144,0,0,40.334,-
Lyme Disease,Inyo,2014,Male,0,9468,0,0,38.954,-
Lyme Disease,Kern,2001,Total,0,679674,0,0,0.543,-
Lyme Disease,Kern,2001,Female,0,330250,0,0,1.117,-
Lyme Disease,Kern,2001,Male,0,349424,0,0,1.056,-
Lyme Disease,Kern,2002,Total,2,696504,0.287,0.035,1.037,*
Lyme Disease,Kern,2002,Female,1,338203,0.296,0.007,1.647,*
Lyme Disease,Kern,2002,Male,1,358301,0.279,0.007,1.555,*
Lyme Disease,Kern,2003,Total,1,717797,0.139,0.004,0.776,*
Lyme Disease,Kern,2003,Female,0,348293,0,0,1.059,-
Lyme Disease,Kern,2003,Male,1,369504,0.271,0.007,1.508,*
Lyme Disease,Kern,2004,Total,0,740022,0,0,0.498,-
Lyme Disease,Kern,2004,Female,0,358829,0,0,1.028,-
Lyme Disease,Kern,2004,Male,0,381193,0,0,0.968,-
Lyme Disease,Kern,2005,Total,1,761972,0.131,0.003,0.731,*
Lyme Disease,Kern,2005,Female,1,369284,0.271,0.007,1.509,*
Lyme Disease,Kern,2005,Male,0,392688,0,0,0.939,-
Lyme Disease,Kern,2006,Total,1,786220,0.127,0.003,0.709,*
Lyme Disease,Kern,2006,Female,1,380855,0.263,0.007,1.463,*
Lyme Disease,Kern,2006,Male,0,405365,0,0,0.91,-
Lyme Disease,Kern,2007,Total,4,805798,0.496,0.135,1.271,*
Lyme Disease,Kern,2007,Female,3,390363,0.769,0.158,2.246,*
Lyme Disease,Kern,2007,Male,1,415435,0.241,0.006,1.341,*
Lyme Disease,Kern,2008,Total,3,819891,0.366,0.075,1.069,*
Lyme Disease,Kern,2008,Female,2,397224,0.503,0.061,1.819,*
Lyme Disease,Kern,2008,Male,1,422667,0.237,0.006,1.318,*
Lyme Disease,Kern,2009,Total,1,831134,0.12,0.003,0.67,*
Lyme Disease,Kern,2009,Female,0,402699,0,0,0.916,-
Lyme Disease,Kern,2009,Male,1,428435,0.233,0.006,1.3,*
Lyme Disease,Kern,2010,Total,2,841158,0.238,0.029,0.859,*
Lyme Disease,Kern,2010,Female,1,404512,0.247,0.006,1.377,*
Lyme Disease,Kern,2010,Male,1,436646,0.229,0.006,1.276,*
Lyme Disease,Kern,2011,Total,0,848880,0,0,0.435,-
Lyme Disease,Kern,2011,Female,0,408373,0,0,0.903,-
Lyme Disease,Kern,2011,Male,0,440507,0,0,0.837,-
Lyme Disease,Kern,2012,Total,0,855974,0,0,0.431,-
Lyme Disease,Kern,2012,Female,0,411962,0,0,0.895,-
Lyme Disease,Kern,2012,Male,0,444012,0,0,0.831,-
Lyme Disease,Kern,2013,Total,0,865511,0,0,0.426,-
Lyme Disease,Kern,2013,Female,0,416808,0,0,0.885,-
Lyme Disease,Kern,2013,Male,0,448703,0,0,0.822,-
Lyme Disease,Kern,2014,Total,0,872322,0,0,0.423,-
Lyme Disease,Kern,2014,Female,0,420256,0,0,0.878,-
Lyme Disease,Kern,2014,Male,0,452066,0,0,0.816,-
Lyme Disease,Kings,2001,Total,0,132441,0,0,2.785,-
Lyme Disease,Kings,2001,Female,0,56448,0,0,6.535,-
Lyme Disease,Kings,2001,Male,0,75993,0,0,4.854,-
Lyme Disease,Kings,2002,Total,0,134664,0,0,2.739,-
Lyme Disease,Kings,2002,Female,0,57449,0,0,6.421,-
Lyme Disease,Kings,2002,Male,0,77215,0,0,4.777,-
Lyme Disease,Kings,2003,Total,0,138772,0,0,2.658,-
Lyme Disease,Kings,2003,Female,0,59166,0,0,6.235,-
Lyme Disease,Kings,2003,Male,0,79606,0,0,4.634,-
Lyme Disease,Kings,2004,Total,0,142617,0,0,2.587,-
Lyme Disease,Kings,2004,Female,0,60889,0,0,6.058,-
Lyme Disease,Kings,2004,Male,0,81728,0,0,4.514,-
Lyme Disease,Kings,2005,Total,0,144601,0,0,2.551,-
Lyme Disease,Kings,2005,Female,0,61768,0,0,5.972,-
Lyme Disease,Kings,2005,Male,0,82833,0,0,4.453,-
Lyme Disease,Kings,2006,Total,0,147496,0,0,2.501,-
Lyme Disease,Kings,2006,Female,0,63016,0,0,5.854,-
Lyme Disease,Kings,2006,Male,0,84480,0,0,4.366,-
Lyme Disease,Kings,2007,Total,0,150378,0,0,2.453,-
Lyme Disease,Kings,2007,Female,0,64272,0,0,5.739,-
Lyme Disease,Kings,2007,Male,0,86106,0,0,4.284,-
Lyme Disease,Kings,2008,Total,0,151834,0,0,2.43,-
Lyme Disease,Kings,2008,Female,0,64879,0,0,5.686,-
Lyme Disease,Kings,2008,Male,0,86955,0,0,4.242,-
Lyme Disease,Kings,2009,Total,1,151794,0.659,0.017,3.67,*
Lyme Disease,Kings,2009,Female,0,64867,0,0,5.687,-
Lyme Disease,Kings,2009,Male,1,86927,1.15,0.029,6.409,*
Lyme Disease,Kings,2010,Total,0,152693,0,0,2.416,-
Lyme Disease,Kings,2010,Female,0,66218,0,0,5.571,-
Lyme Disease,Kings,2010,Male,0,86475,0,0,4.266,-
Lyme Disease,Kings,2011,Total,0,151685,0,0,2.432,-
Lyme Disease,Kings,2011,Female,0,65733,0,0,5.612,-
Lyme Disease,Kings,2011,Male,0,85952,0,0,4.292,-
Lyme Disease,Kings,2012,Total,0,150643,0,0,2.449,-
Lyme Disease,Kings,2012,Female,0,65236,0,0,5.655,-
Lyme Disease,Kings,2012,Male,0,85407,0,0,4.319,-
Lyme Disease,Kings,2013,Total,1,150507,0.664,0.017,3.702,*
Lyme Disease,Kings,2013,Female,0,65192,0,0,5.658,-
Lyme Disease,Kings,2013,Male,1,85315,1.172,0.03,6.53,*
Lyme Disease,Kings,2014,Total,0,149788,0,0,2.463,-
Lyme Disease,Kings,2014,Female,0,64992,0,0,5.676,-
Lyme Disease,Kings,2014,Male,0,84796,0,0,4.35,-
Lyme Disease,Lake,2001,Total,0,60046,0,0,6.143,-
Lyme Disease,Lake,2001,Female,0,30250,0,0,12.194,-
Lyme Disease,Lake,2001,Male,0,29796,0,0,12.38,-
Lyme Disease,Lake,2002,Total,0,61005,0,0,6.047,-
Lyme Disease,Lake,2002,Female,0,30720,0,0,12.007,-
Lyme Disease,Lake,2002,Male,0,30285,0,0,12.18,-
Lyme Disease,Lake,2003,Total,1,61981,1.613,0.041,8.989,*
Lyme Disease,Lake,2003,Female,0,31191,0,0,11.826,-
Lyme Disease,Lake,2003,Male,1,30790,3.248,0.082,18.094,*
Lyme Disease,Lake,2004,Total,2,62633,3.193,0.387,11.534,*
Lyme Disease,Lake,2004,Female,0,31503,0,0,11.709,-
Lyme Disease,Lake,2004,Male,2,31130,6.425,0.778,23.206,*
Lyme Disease,Lake,2005,Total,0,63107,0,0,5.845,-
Lyme Disease,Lake,2005,Female,0,31709,0,0,11.633,-
Lyme Disease,Lake,2005,Male,0,31398,0,0,11.748,-
Lyme Disease,Lake,2006,Total,0,63792,0,0,5.783,-
Lyme Disease,Lake,2006,Female,0,31980,0,0,11.534,-
Lyme Disease,Lake,2006,Male,0,31812,0,0,11.595,-
Lyme Disease,Lake,2007,Total,1,63986,1.563,0.04,8.707,*
Lyme Disease,Lake,2007,Female,0,32024,0,0,11.518,-
Lyme Disease,Lake,2007,Male,1,31962,3.129,0.079,17.431,*
Lyme Disease,Lake,2008,Total,0,64370,0,0,5.731,-
Lyme Disease,Lake,2008,Female,0,32159,0,0,11.47,-
Lyme Disease,Lake,2008,Male,0,32211,0,0,11.452,-
Lyme Disease,Lake,2009,Total,0,64396,0,0,5.728,-
Lyme Disease,Lake,2009,Female,0,32169,0,0,11.467,-
Lyme Disease,Lake,2009,Male,0,32227,0,0,11.446,-
Lyme Disease,Lake,2010,Total,0,64602,0,0,5.71,-
Lyme Disease,Lake,2010,Female,0,32161,0,0,11.469,-
Lyme Disease,Lake,2010,Male,0,32441,0,0,11.37,-
Lyme Disease,Lake,2011,Total,0,64411,0,0,5.727,-
Lyme Disease,Lake,2011,Female,0,32084,0,0,11.497,-
Lyme Disease,Lake,2011,Male,0,32327,0,0,11.41,-
Lyme Disease,Lake,2012,Total,0,64204,0,0,5.745,-
Lyme Disease,Lake,2012,Female,0,32003,0,0,11.526,-
Lyme Disease,Lake,2012,Male,0,32201,0,0,11.455,-
Lyme Disease,Lake,2013,Total,0,64209,0,0,5.745,-
Lyme Disease,Lake,2013,Female,0,32011,0,0,11.523,-
Lyme Disease,Lake,2013,Male,0,32198,0,0,11.456,-
Lyme Disease,Lake,2014,Total,0,64744,0,0,5.697,-
Lyme Disease,Lake,2014,Female,0,32229,0,0,11.445,-
Lyme Disease,Lake,2014,Male,0,32515,0,0,11.345,-
Lyme Disease,Lassen,2001,Total,0,33650,0,0,10.962,-
Lyme Disease,Lassen,2001,Female,0,12262,0,0,30.079,-
Lyme Disease,Lassen,2001,Male,0,21388,0,0,17.246,-
Lyme Disease,Lassen,2002,Total,1,33603,2.976,0.075,16.58,*
Lyme Disease,Lassen,2002,Female,1,12184,8.207,0.208,45.721,*
Lyme Disease,Lassen,2002,Male,0,21419,0,0,17.221,-
Lyme Disease,Lassen,2003,Total,0,34053,0,0,10.832,-
Lyme Disease,Lassen,2003,Female,0,12307,0,0,29.969,-
Lyme Disease,Lassen,2003,Male,0,21746,0,0,16.962,-
Lyme Disease,Lassen,2004,Total,0,34574,0,0,10.669,-
Lyme Disease,Lassen,2004,Female,0,12495,0,0,29.518,-
Lyme Disease,Lassen,2004,Male,0,22079,0,0,16.706,-
Lyme Disease,Lassen,2005,Total,0,34528,0,0,10.683,-
Lyme Disease,Lassen,2005,Female,0,12495,0,0,29.518,-
Lyme Disease,Lassen,2005,Male,0,22033,0,0,16.741,-
Lyme Disease,Lassen,2006,Total,0,35011,0,0,10.536,-
Lyme Disease,Lassen,2006,Female,0,12622,0,0,29.222,-
Lyme Disease,Lassen,2006,Male,0,22389,0,0,16.475,-
Lyme Disease,Lassen,2007,Total,0,35749,0,0,10.318,-
Lyme Disease,Lassen,2007,Female,0,12839,0,0,28.728,-
Lyme Disease,Lassen,2007,Male,0,22910,0,0,16.1,-
Lyme Disease,Lassen,2008,Total,0,35120,0,0,10.503,-
Lyme Disease,Lassen,2008,Female,0,12631,0,0,29.201,-
Lyme Disease,Lassen,2008,Male,0,22489,0,0,16.402,-
Lyme Disease,Lassen,2009,Total,0,34773,0,0,10.608,-
Lyme Disease,Lassen,2009,Female,0,12461,0,0,29.599,-
Lyme Disease,Lassen,2009,Male,0,22312,0,0,16.532,-
Lyme Disease,Lassen,2010,Total,0,35145,0,0,10.496,-
Lyme Disease,Lassen,2010,Female,0,12629,0,0,29.205,-
Lyme Disease,Lassen,2010,Male,0,22516,0,0,16.382,-
Lyme Disease,Lassen,2011,Total,0,34677,0,0,10.637,-
Lyme Disease,Lassen,2011,Female,0,12465,0,0,29.59,-
Lyme Disease,Lassen,2011,Male,0,22212,0,0,16.606,-
Lyme Disease,Lassen,2012,Total,0,33719,0,0,10.939,-
